community_id,ngram_type,rank,term,ctfidf,class_count
8,bigram,9,ai artists,0.004447951824829984,1567
8,bigram,10,aiia aiartcommunity,0.004233750164316543,1217
2,unigram,1,chatgpt,0.042469806553072004,45099
2,unigram,2,content,0.02289663914224199,11080
2,unigram,3,use,0.017175690761411663,10781
2,unigram,4,google,0.016510729135208933,8313
2,unigram,5,gpt,0.013485718813136559,7184
2,unigram,6,tools,0.013181583050139093,6177
2,unigram,7,using,0.01268586919821681,7308
2,unigram,8,just,0.011923651439140941,8563
2,unigram,9,like,0.011613277562367614,8690
2,unigram,10,seo,0.011021228014558364,3666
2,unigram,11,help,0.01011539167586508,4827
2,unigram,12,writing,0.010037860542305545,4353
2,unigram,13,write,0.009844637417235557,4456
2,unigram,14,new,0.009777374097398404,6040
2,unigram,15,tool,0.009762342467529968,4424
2,unigram,16,search,0.009651115017974013,4069
2,unigram,17,time,0.009464739120425938,5176
2,unigram,18,chat,0.009409694331955622,4322
2,unigram,19,create,0.009211448996148069,4424
2,unigram,20,make,0.009031302736800573,5214
2,bigram,1,ai tools,0.008202027883365095,3097
2,bigram,2,chat gpt,0.007115375543846613,2829
2,bigram,3,ai content,0.006523111925316884,1970
2,bigram,4,use chatgpt,0.006243881912927114,2121
2,bigram,5,use ai,0.005417523617237187,2249
2,bigram,6,using chatgpt,0.005113260924451356,1735
2,bigram,7,using ai,0.005101852591874548,2128
2,bigram,8,artificial intelligence,0.004592881535665143,2397
2,bigram,9,ai tool,0.0036751194307736933,1200
2,bigram,10,ai generated,0.0036402783802958693,1734
12,unigram,1,price,0.03593065392378132,12631
12,unigram,2,profit,0.0334106908676994,11262
12,unigram,3,sell,0.022114510341212618,6987
12,unigram,4,aipad,0.021588292846437405,6159
12,unigram,5,chatgpt,0.02096706438084472,19008
12,unigram,6,buy,0.017984463004048847,5985
12,unigram,7,launchpad,0.014021323407149563,4090
12,unigram,8,agix,0.012162343070842938,3491
12,unigram,9,artificialintelligence,0.011893240797295989,4984
12,unigram,10,bullish,0.0107452027991813,3093
12,unigram,11,fet,0.01054432662981925,3115
12,unigram,12,crypto,0.009605225994418804,3842
12,unigram,13,future,0.009354034962602224,4015
12,unigram,14,new,0.00916789449752788,4835
12,unigram,15,like,0.00912936097960352,5832
12,unigram,16,use,0.008696187953295648,4660
12,unigram,17,technology,0.008661357518273193,3810
12,unigram,18,just,0.00803788636068286,4928
12,unigram,19,help,0.007869674280776342,3206
12,unigram,20,intelligence,0.00762181961215432,3600
12,bigram,1,price profit,0.034677860080393065,11043
12,bigram,2,aipad launchpad,0.011182304036827,2729
12,bigram,3,launchpad bullish,0.009891308046101182,2356
12,bigram,4,ai fet,0.008086833611040272,1919
12,bigram,5,bullish artificialintelligence,0.008012811702351037,1826
12,bigram,6,artificialintelligence agix,0.007917477920987783,1801
12,bigram,7,fet aipad,0.007578014578055424,1713
12,bigram,8,artificial intelligence,0.00633376657722148,2822
12,bigram,9,ai aipad,0.00533424783475712,1136
12,bigram,10,aipadtweet ai,0.004896874476703208,1021
4,unigram,1,sfund,0.05762898071896064,4501
4,unigram,2,project,0.0513226893418667,5758
4,unigram,3,launchpad,0.0336835162493431,2877
4,unigram,4,algalonai,0.03264976356704824,2268
4,unigram,5,projects,0.029752761559025502,2877
4,unigram,6,category,0.023674807970546663,1671
4,unigram,7,idos,0.0219268117263597,1432
4,unigram,8,crypto,0.021720968963148225,2544
4,unigram,9,nft,0.021248541077079505,2360
4,unigram,10,new,0.020825768171483898,3216
4,unigram,11,token,0.02022096175320769,1771
4,unigram,12,join,0.01862714086197307,1819
4,unigram,13,algalontweet,0.016059564209113267,975
4,unigram,14,ido,0.016040678475790583,1152
4,unigram,15,dyor,0.014743573438517118,1028
4,unigram,16,team,0.014640366613431478,1394
4,unigram,17,igo,0.014639749337721683,873
4,unigram,18,future,0.013422715427373189,1687
4,unigram,19,seedify,0.013257926935290397,783
4,unigram,20,blockchain,0.013182638573426934,1471
4,bigram,1,ai projects,0.02192367810681801,1734
4,bigram,2,algalonai algalontweet,0.01530922162910615,922
4,bigram,3,algalontweet ai,0.015180693209684962,913
4,bigram,4,ai artificialintelligence,0.014966636175951644,1331
4,bigram,5,ai category,0.012816965737626942,767
4,bigram,6,ai idos,0.012556011425410442,731
4,bigram,7,algalon ai,0.011145182737298922,642
4,bigram,8,new category,0.010656601521369578,611
4,bigram,9,ai project,0.01004764696732444,774
4,bigram,10,algalonai ai,0.009058725071464864,503
9,unigram,1,man,0.029484381025915798,12932
9,unigram,2,blockchain,0.024376269643938193,11036
9,unigram,3,crypto,0.024354203025400405,11573
9,unigram,4,matrixainetwork,0.018454249431244848,6212
9,unigram,5,project,0.016263401189490448,7403
9,unigram,6,eth,0.015575604703015987,6237
9,unigram,7,web3,0.014100316657448752,5968
9,unigram,8,matrix,0.013686551609362366,4510
9,unigram,9,data,0.012437668868119601,6894
9,unigram,10,projects,0.012137875874246702,4762
9,unigram,11,check,0.011426625204148427,5058
9,unigram,12,fet,0.011391510933996903,3998
9,unigram,13,token,0.01107091415202501,3934
9,unigram,14,ocean,0.011064836846741274,3524
9,unigram,15,decentralized,0.010974293951909183,3578
9,unigram,16,metaverse,0.010403194348104322,4211
9,unigram,17,bot,0.010271091498571814,4226
9,unigram,18,gem,0.010076325590790495,3182
9,unigram,19,btc,0.009608810919990145,3268
9,unigram,20,network,0.009494405638379427,3240
9,bigram,1,ai blockchain,0.009186191872296107,2980
9,bigram,2,artificial intelligence,0.0077476957165115955,4101
9,bigram,3,ai project,0.0073621710980613445,2301
9,bigram,4,ai projects,0.006397630509894353,2053
9,bigram,5,matrixainetwork ai,0.006090798842655449,1617
9,bigram,6,ai crypto,0.005956378670489826,1782
9,bigram,7,matrix ai,0.005760073823566827,1527
9,bigram,8,ai narrative,0.005409019775965355,1463
9,bigram,9,man matrixainetwork,0.0052722988382905905,1363
9,bigram,10,man ai,0.005072357568160531,1368
16,unigram,1,machinelearning,0.031710297821769345,20301
16,unigram,2,artificialintelligence,0.02696500903275445,18770
16,unigram,3,bigdata,0.024074321600620414,13527
16,unigram,4,datascience,0.023626103877428348,13347
16,unigram,5,iot,0.0210311203715799,11507
16,unigram,6,ml,0.020973009971785864,12933
16,unigram,7,technology,0.019442267733217024,14206
16,unigram,8,python,0.01754165795988366,9484
16,unigram,9,chatgpt,0.01744916212484825,26276
16,unigram,10,intelligence,0.017348435604936454,13611
16,unigram,11,artificial,0.016877311838578726,12768
16,unigram,12,tech,0.01587575574686524,11205
16,unigram,13,data,0.015376979228198822,11917
16,unigram,14,deeplearning,0.014515919298301505,7240
16,unigram,15,analytics,0.014116454244528502,7150
16,unigram,16,dl,0.011709513461570646,5401
16,unigram,17,innovation,0.01145161764123399,6099
16,unigram,18,learning,0.010684575581943589,7077
16,unigram,19,coding,0.010467008519624562,5348
16,unigram,20,exclusive,0.010328846837055441,4775
16,bigram,1,artificial intelligence,0.01656164036909817,12257
16,bigram,2,ai ml,0.014956261873156265,8110
16,bigram,3,ai machinelearning,0.011660875324278728,5561
16,bigram,4,ai artificialintelligence,0.009732622894408906,4910
16,bigram,5,ml dl,0.00916135389982805,3963
16,bigram,6,aipaparazzi tmz,0.009103717120242832,3911
16,bigram,7,paparazzi ai,0.009103717120242832,3911
16,bigram,8,celebwatch exclusive,0.009103717120242832,3911
16,bigram,9,celebnews celebwatch,0.009103717120242832,3911
16,bigram,10,exclusive perezhilton,0.009103717120242832,3911
7,unigram,1,art,0.04008192511590656,14873
7,unigram,2,like,0.023851382894471286,8198
7,unigram,3,people,0.021582194582929027,6256
7,unigram,4,just,0.021493155656147563,7090
7,unigram,5,artists,0.01650961219651788,3829
7,unigram,6,think,0.015491112361819834,4141
7,unigram,7,make,0.014454025403699942,3833
7,unigram,8,botprompt,0.012510034346713259,1496
7,unigram,9,generated,0.011208498489789333,2662
7,unigram,10,use,0.010824791891487606,3121
7,unigram,11,thing,0.010589673139098657,2186
7,unigram,12,really,0.010361692681720465,2294
7,unigram,13,good,0.010155204590988906,2499
7,unigram,14,human,0.01007626225563097,2488
7,unigram,15,artist,0.009940556227395307,1998
7,unigram,16,image,0.009290246151288742,1840
7,unigram,17,work,0.009217742907957037,2314
7,unigram,18,way,0.009006266731838098,2087
