week_start,week_end,iso_year,iso_week,n_active_authors,n_scored_posts,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,boundary_status,plotted,score_scale,week_definition
2022-10-31 00:00:00+00:00,2022-11-06 00:00:00+00:00,2022,44,921,1531,0.1037330186156903,0.5687590461422795,0.1070637853543433,0.0633863535232212,0.6425584100785635,0.0933885405479422,0.5287756997443742,0.034122536565637,0.0539404223920813,0.1295009363080982,0.1643100061492495,complete,True,raw model probabilities; author-balanced weekly mean,"ISO week beginning Monday, UTC"
2022-11-07 00:00:00+00:00,2022-11-13 00:00:00+00:00,2022,45,1711,2935,0.1429681813843321,0.5444908854339369,0.1438721824662833,0.0624965372908253,0.6175250039189929,0.0858043646647353,0.5160469200564922,0.0392729008826522,0.0704581629949088,0.121412132794925,0.1613593353810458,complete,True,raw model probabilities; author-balanced weekly mean,"ISO week beginning Monday, UTC"
2022-11-14 00:00:00+00:00,2022-11-20 00:00:00+00:00,2022,46,39145,121762,0.2286806292378008,0.4747728599914438,0.2356602911696897,0.0630737912577147,0.4755267820839132,0.069994126394101,0.3832190429516199,0.0532553472185547,0.1083757310834247,0.1197183825444642,0.1145493174790361,complete,True,raw model probabilities; author-balanced weekly mean,"ISO week beginning Monday, UTC"
2022-11-21 00:00:00+00:00,2022-11-27 00:00:00+00:00,2022,47,40238,132647,0.1960855804038215,0.4891212122111499,0.2081682404442937,0.0696804985567838,0.4828896735649455,0.0743391656446157,0.3927154092016482,0.050446676780217,0.0959378194973918,0.1286983134630546,0.1161060860203965,complete,True,raw model probabilities; author-balanced weekly mean,"ISO week beginning Monday, UTC"
2022-11-28 00:00:00+00:00,2022-12-04 00:00:00+00:00,2022,48,82338,313116,0.2943109663753132,0.4315793060336909,0.3026091692423572,0.0739346887507196,0.4131298280390396,0.057292693038018,0.3262200253925906,0.0588326291856643,0.1224437442045581,0.1265719544125639,0.0950443967100176,complete,True,raw model probabilities; author-balanced weekly mean,"ISO week beginning Monday, UTC"
2022-12-05 00:00:00+00:00,2022-12-11 00:00:00+00:00,2022,49,102409,415471,0.2837679612558236,0.4368074220097196,0.295183402418528,0.0744595974117193,0.4041894758578621,0.0655897943698372,0.3342543027564791,0.0649810840407654,0.133901307079077,0.1235721337873419,0.0971818406128669,complete,True,raw model probabilities; author-balanced weekly mean,"ISO week beginning Monday, UTC"
2022-12-12 00:00:00+00:00,2022-12-18 00:00:00+00:00,2022,50,91372,359427,0.2975414997950901,0.436232033481117,0.3042604674844222,0.0756413191869038,0.3932194176837145,0.052884551809004,0.3418756558289927,0.0644297814089222,0.1281474117654726,0.1147201543793424,0.0979703520931628,complete,True,raw model probabilities; author-balanced weekly mean,"ISO week beginning Monday, UTC"
2022-12-19 00:00:00+00:00,2022-12-25 00:00:00+00:00,2022,51,69752,223549,0.2589585500880808,0.4472766867463336,0.2712099196110749,0.0751936855753691,0.4276914096978058,0.0644163020086731,0.3527859046541672,0.0584447474287585,0.1172634530513977,0.1187566361464974,0.1016724611177509,complete,True,raw model probabilities; author-balanced weekly mean,"ISO week beginning Monday, UTC"
2022-12-26 00:00:00+00:00,2023-01-01 00:00:00+00:00,2022,52,60783,192197,0.224101938546183,0.4602768417701484,0.2371290481566647,0.0742215022537124,0.4516541539088838,0.0677093501503581,0.3733852750480849,0.0569858276188277,0.1129709238030562,0.1214804833705265,0.1080965879127063,complete,True,raw model probabilities; author-balanced weekly mean,"ISO week beginning Monday, UTC"
2023-01-02 00:00:00+00:00,2023-01-08 00:00:00+00:00,2023,1,78811,272382,0.2467884506670025,0.472315269053193,0.2573602422882654,0.0719297480815822,0.4251091910318324,0.0544318325616597,0.3719991416866248,0.0573000121827711,0.1084854452408894,0.1178048757175343,0.1110373050620814,complete,True,raw model probabilities; author-balanced weekly mean,"ISO week beginning Monday, UTC"
